,,MSF_AE,MSF_AE,MSF_AE,RF_AE,RF_AE,RF_AE,MSF_MAD,MSF_MAD,MSF_MAD,RF_MAD,RF_MAD,RF_MAD
,,len,mean,std,len,mean,std,len,mean,std,len,mean,std
PRODUCT_LINE,ITEM_RANK,,,,,,,,,,,,
5012,C,419.0,0.702,2.672,419.0,0.462,2.537,419.0,2.098,2.089,419.0,2.104,1.892
5012,D,354.0,0.155,1.158,354.0,0.003,1.14,354.0,0.912,0.977,354.0,0.969,0.987
5013,A,169.0,2.837,4.579,169.0,2.373,4.985,169.0,4.388,3.804,169.0,4.379,4.049
5013,B,280.0,0.427,2.522,280.0,0.288,2.335,280.0,2.205,1.713,280.0,2.145,1.559
5013,C,300.0,0.14,1.595,300.0,-0.093,1.606,300.0,1.3,1.287,300.0,1.413,1.242
5013,D,255.0,0.039,0.91,255.0,-0.065,0.905,255.0,0.639,0.782,255.0,0.673,0.753
5014,A,261.0,3.234,6.823,261.0,1.793,6.744,261.0,5.747,5.364,261.0,5.655,4.989
5014,B,475.0,0.808,3.222,475.0,0.159,3.115,475.0,2.549,2.594,475.0,2.601,2.426
5014,C,615.0,0.505,1.702,615.0,0.034,1.7,615.0,1.329,1.346,615.0,1.41,1.227
5014,D,785.0,0.168,0.852,785.0,0.04,0.872,785.0,0.525,0.782,785.0,0.574,0.801
5014,N,20.0,4.325,8.799,20.0,3.8,8.092,20.0,4.675,8.865,20.0,4.4,8.065
5015,A,195.0,1.397,3.332,195.0,0.313,3.292,195.0,3.11,2.467,195.0,3.2,2.454
5015,B,310.0,0.413,2.178,310.0,-0.29,2.139,310.0,1.742,1.682,310.0,1.861,1.581
5015,C,395.0,0.081,1.082,395.0,-0.542,1.295,395.0,0.894,0.873,395.0,1.213,1.236
5015,D,476.0,0.067,0.66,476.0,-0.173,0.755,476.0,0.357,0.599,476.0,0.526,0.649
5015,N,3.0,0.167,0.289,3.0,-0.833,0.289,3.0,0.167,0.289,3.0,0.833,0.289
