,,MSF_AE,MSF_AE,MSF_AE,RF_AE,RF_AE,RF_AE,MSF_MAD,MSF_MAD,MSF_MAD,RF_MAD,RF_MAD,RF_MAD
,,len,mean,std,len,mean,std,len,mean,std,len,mean,std
PRODUCT_LINE,ITEM_RANK,,,,,,,,,,,,
5012,C,419.0,0.702,2.672,419.0,0.465,2.541,419.0,2.098,2.089,419.0,2.126,1.949
5012,D,354.0,0.155,1.158,354.0,-0.018,1.155,354.0,0.912,0.977,354.0,0.993,0.943
5013,A,169.0,2.837,4.579,169.0,2.482,4.988,169.0,4.388,3.804,169.0,4.429,4.039
5013,B,280.0,0.427,2.522,280.0,0.271,2.388,280.0,2.205,1.713,280.0,2.179,1.598
5013,C,300.0,0.14,1.595,300.0,-0.053,1.653,300.0,1.3,1.287,300.0,1.42,1.274
5013,D,255.0,0.039,0.91,255.0,-0.092,0.831,255.0,0.639,0.782,255.0,0.645,0.681
5014,A,260.0,3.119,6.58,260.0,1.446,6.419,260.0,5.642,5.1,260.0,5.442,4.58
5014,B,475.0,0.808,3.222,475.0,0.149,3.243,475.0,2.549,2.594,475.0,2.693,2.509
5014,C,615.0,0.505,1.702,615.0,0.05,1.7,615.0,1.329,1.346,615.0,1.417,1.238
5014,D,785.0,0.168,0.852,785.0,0.01,0.857,785.0,0.525,0.782,785.0,0.592,0.772
5014,N,20.0,4.325,8.799,20.0,3.35,7.889,20.0,4.675,8.865,20.0,4.4,7.698
5015,A,195.0,1.397,3.332,195.0,0.446,3.117,195.0,3.11,2.467,195.0,3.056,2.311
5015,B,310.0,0.413,2.178,310.0,-0.326,2.057,310.0,1.742,1.682,310.0,1.858,1.542
5015,C,395.0,0.081,1.082,395.0,-0.528,1.119,395.0,0.894,0.873,395.0,1.178,1.092
5015,D,476.0,0.067,0.66,476.0,-0.291,0.713,476.0,0.357,0.599,476.0,0.579,0.611
5015,N,3.0,0.167,0.289,3.0,-1.167,0.577,3.0,0.167,0.289,3.0,1.167,0.577
