,,MSF_AE,MSF_AE,MSF_AE,RF_AE,RF_AE,RF_AE,MSF_MAD,MSF_MAD,MSF_MAD,RF_MAD,RF_MAD,RF_MAD
,,len,mean,std,len,mean,std,len,mean,std,len,mean,std
PRODUCT_LINE,ITEM_RANK,,,,,,,,,,,,
5012,D,334.0,-0.0,0.599,334.0,-0.009,0.489,334.0,0.871,0.622,334.0,0.867,0.622
5013,A,170.0,0.365,2.471,170.0,0.652,2.09,170.0,3.848,2.454,170.0,3.905,2.5
5013,B,275.0,-0.043,1.455,275.0,-0.032,1.186,275.0,2.171,1.275,275.0,2.178,1.268
5013,C,295.0,-0.09,0.807,295.0,-0.195,0.669,295.0,1.318,0.93,295.0,1.389,0.99
5013,D,234.0,-0.064,0.458,234.0,-0.075,0.394,234.0,0.63,0.549,234.0,0.625,0.527
5014,A,254.0,0.902,3.772,254.0,0.942,3.191,254.0,5.35,4.288,254.0,5.198,4.148
5014,B,464.0,0.18,1.854,464.0,0.034,1.447,464.0,2.459,1.973,464.0,2.448,1.778
5014,C,584.0,0.045,0.773,584.0,-0.13,0.645,584.0,1.195,0.821,584.0,1.23,0.791
5014,D,753.0,0.021,0.445,753.0,0.003,0.391,753.0,0.465,0.533,753.0,0.469,0.528
5014,N,20.0,0.867,2.498,20.0,0.983,2.642,20.0,2.3,3.749,20.0,2.261,3.476
5015,A,160.0,1.388,1.754,160.0,0.486,1.413,160.0,2.908,2.029,160.0,2.896,1.983
5015,B,225.0,0.579,1.416,225.0,0.0,0.876,225.0,1.703,1.463,225.0,1.722,1.282
5015,C,290.0,0.182,0.615,290.0,-0.182,0.464,290.0,0.913,0.556,290.0,0.994,0.493
5015,D,245.0,0.082,0.382,245.0,-0.056,0.291,245.0,0.45,0.414,245.0,0.498,0.42
