ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
ITEM NUMBER,ITEM_ADDED_DATE,BR_ID,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05
ITEM_NUMBER,ITEM_ADDED_DATE,BR_ID,L12M,L11M,L10M,L9M,L8M,L7M,L6M,L5M,L4M,L3M,L2M,L1M,CM
"11-11932-00-9",81,5,4,5,2,5,2,1,3,1,7,3,3,3
"11-11941-00",81,0,0,0,2,0,0,0,0,0,0,0,0,0
"11-11941-00-1",81,13,16,15,8,4,9,14,12,11,10,16,14,17
"11-11941-00-9",81,4,14,7,3,6,2,4,4,1,3,10,4,3
"11-11942-00-1",81,6,16,8,11,5,10,12,14,9,7,16,20,19
"11-11942-00-9",81,8,9,13,3,4,2,2,3,7,6,10,2,8
"11-11949-00",81,2,2,1,1,0,3,0,2,3,0,0,0,0
"11-11949-00-1",81,0,2,4,3,8,9,9,6,13,12,17,15,8
"11-11949-00-9",81,4,1,1,2,2,2,6,7,5,2,5,0,5
"11-11950-00",81,4,0,3,3,5,5,8,4,5,0,0,0,1
"11-11950-00-1",81,2,0,1,1,2,4,3,1,7,2,8,6,8
"11-11950-00-9",81,2,2,2,1,0,3,5,4,3,3,3,1,4
"11-11967-00",81,0,2,1,1,1,1,0,0,0,0,2,1,2
"11-11967-00-1",81,0,1,1,0,0,1,0,1,1,0,0,0,0
"11-11967-00-9",81,1,0,0,0,0,0,0,0,0,2,1,2,0
"11-11968-00",81,1,0,1,2,0,3,2,0,0,0,2,0,4
"11-11968-00-1",81,1,3,2,6,1,0,0,0,0,0,0,0,0
"11-11968-00-9",81,1,1,1,0,0,0,2,2,3,1,1,1,0
"11-11969-00",81,3,6,6,2,1,0,1,0,0,0,4,3,1
"11-11970-00",81,11,4,15,0,0,1,3,3,0,0,0,0,0
"11-11981-00",81,3,1,0,1,0,0,0,0,0,0,3,0,0
"11-11981-00-1",81,1,0,0,0,3,2,1,0,0,2,0,1,1
"11-11981-01-9",81,2,2,2,0,3,5,4,4,0,3,0,2,3
"11-11982-00",81,3,3,0,2,5,0,6,1,0,2,3,0,1
"11-11982-00-1",81,1,1,2,0,1,0,1,0,0,1,3,2,0
"11-11982-01-9",81,1,0,2,0,1,1,1,2,0,0,3,1,3
