PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_02_ACTUAL,2016_02_MSF_FORECAST,2016_02_RF_FORECAST
,,D,81,7,4,4
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,2,1,1
,,D,85,2,1,1
,,D,81,3,3,3
,,D,82,1,1,1
,,D,83,0,1,1
,,D,84,1,1,1
,,D,85,0,0,0
,,D,81,1,3,3
,,D,82,0,1,1
,,D,83,1,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,D,81,1,1,1
,,D,83,0,0,0
,,D,84,0,1,1
,,D,85,0,0,0
,,D,81,2,3,4
,,D,82,0,0,0
,,D,83,1,1,2
,,D,84,0,1,1
,,D,85,0,1,1
,,D,81,1,1,1
,,D,83,0,0,0
,,D,84,0,1,1
,,D,85,0,0,0
,,C,81,0,4,4
,,C,82,0,1,1
,,C,83,1,3,2
,,C,84,6,4,6
,,C,85,7,1,1
,,D,81,0,2,2
,,D,82,0,1,1
,,D,83,9,5,7
,,D,84,0,2,3
,,D,85,2,2,3
,,C,81,0,3,4
,,C,82,0,1,1
,,C,83,0,2,2
,,C,84,9,4,5
,,C,85,3,2,2
,,D,81,0,3,3
,,D,82,0,1,1
,,D,83,8,5,9
,,D,84,1,2,3
,,D,85,2,2,3
,,B,81,13,2,4
,,B,82,5,2,4
,,B,83,39,15,23
,,B,84,12,1,4
,,B,85,3,1,1
,,D,81,2,1,1
,,D,82,0,1,1
,,D,83,1,2,2
,,D,84,0,0,0
,,D,85,0,2,2
,,B,81,4,1,4
,,B,82,1,3,5
,,B,83,72,15,24
,,B,84,9,1,4
,,B,85,1,1,2
,,D,81,1,1,1
,,D,82,0,1,1
,,D,83,4,3,3
,,D,84,0,0,0
,,D,85,1,2,2
,,D,81,3,2,1
,,D,82,2,4,4
,,D,83,2,2,2
,,D,84,1,2,1
,,D,85,0,0,0
,,C,81,2,3,4
,,C,82,7,2,4
,,C,83,10,4,4
,,C,84,10,4,3
,,C,85,4,4,4
,,C,81,1,4,4
,,C,82,2,2,2
,,C,83,5,3,4
,,C,84,5,4,5
,,C,85,4,4,4
,,D,81,4,2,1
,,D,82,1,3,3
,,D,83,3,2,1
,,D,84,1,1,1
,,D,85,0,1,0
,,C,81,5,2,2
,,C,82,3,4,2
,,C,83,6,4,3
,,C,84,3,5,6
,,C,85,4,3,3
,,C,81,1,4,2
,,C,82,2,4,4
,,C,83,3,4,3
,,C,84,6,6,6
,,C,85,3,3,4
,,C,81,3,4,2
,,C,82,1,2,2
,,C,83,2,3,3
,,C,84,0,3,3
,,C,85,0,2,2
,,D,81,2,1,1
,,D,82,2,0,0
,,D,83,5,1,2
,,D,84,0,1,1
,,D,85,1,1,1
,,C,81,3,3,3
,,C,82,1,2,2
,,C,83,7,1,1
,,C,84,1,2,2
,,C,85,0,1,1
,,D,81,1,1,0
,,D,82,2,0,1
,,D,83,0,1,2
,,D,84,0,1,1
,,D,85,0,1,0
,,C,81,6,10,15
,,C,82,7,8,13
,,C,83,4,12,10
,,C,84,7,6,7
,,C,85,2,3,4
,,C,81,12,10,10
,,C,82,10,6,8
,,C,83,9,9,12
,,C,84,5,5,4
,,C,85,4,4,5
,,D,81,0,0,0
,,D,82,1,1,1
,,D,83,0,1,1
,,D,84,1,1,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,82,2,0,0
,,D,83,0,1,1
,,D,84,1,1,1
,,D,85,0,1,1
,,B,81,3,3,3
,,B,82,4,2,2
,,B,83,6,6,6
,,B,84,5,3,1
,,B,85,0,1,2
,,D,81,0,1,1
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,6,4,3
,,B,82,3,1,1
,,B,83,7,4,5
,,B,84,1,2,3
,,B,85,1,1,2
,,D,81,0,1,1
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,1,0,0
,,D,85,0,0,0
,,D,81,0,2,1
,,D,82,4,2,2
,,D,83,1,3,3
,,D,84,0,1,1
,,D,85,0,1,1
,,B,81,6,5,6
,,B,82,3,2,3
,,B,83,20,16,16
,,B,84,3,8,9
,,B,85,3,6,6
,,D,81,0,2,1
,,D,82,0,1,1
,,D,83,0,2,2
,,D,84,2,1,1
,,D,85,0,2,1
,,B,81,2,5,5
,,B,82,4,3,3
,,B,83,10,16,18
,,B,84,9,9,12
,,B,85,4,5,6
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,18,17,15
,,B,82,6,6,6
,,B,83,6,10,7
,,B,84,13,13,12
,,B,85,7,11,11
,,B,81,15,18,16
,,B,82,9,6,6
,,B,83,9,8,6
,,B,84,10,13,12
,,B,85,5,11,12
,,C,81,6,6,7
,,C,82,1,3,2
,,C,83,5,7,7
,,C,84,2,5,5
,,C,85,6,4,5
,,C,81,3,4,4
,,C,82,3,3,3
,,C,83,7,5,5
,,C,84,14,6,6
,,C,85,7,5,6
,,D,81,0,1,1
,,D,82,2,1,1
,,D,83,1,2,2
,,D,84,3,1,1
,,D,85,3,0,0
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,0,2,3
,,D,84,0,1,1
,,D,85,0,1,1
,,C,81,1,0,1
,,C,82,3,2,2
,,C,83,1,1,1
,,C,84,3,1,1
,,C,85,2,4,3
,,C,81,0,1,1
,,C,82,3,2,3
,,C,83,0,0,1
,,C,84,5,1,1
,,C,85,0,2,1
,,D,81,0,7,5
,,D,82,0,7,4
,,D,83,0,14,6
,,D,84,0,3,2
,,D,85,0,12,8
,,D,81,0,5,2
,,D,82,0,8,5
,,D,83,5,14,9
,,D,84,0,3,2
,,D,85,0,12,8
,,A,81,12,11,12
,,A,82,23,16,15
,,A,83,15,29,31
,,A,84,23,18,16
,,A,85,29,30,29
,,A,81,11,8,9
,,A,82,18,17,16
,,A,83,20,23,23
,,A,84,24,19,19
,,A,85,36,23,24
,,C,81,1,3,4
,,C,82,5,4,5
,,C,83,30,9,10
,,C,84,3,5,6
,,C,85,4,3,3
,,B,81,14,8,10
,,B,82,12,8,9
,,B,83,51,16,17
,,B,84,8,6,7
,,B,85,13,7,7
,,C,81,3,3,3
,,C,82,4,2,2
,,C,83,12,11,10
,,C,84,8,5,6
,,C,85,1,2,2
,,B,81,6,7,8
,,B,82,3,6,6
,,B,83,29,16,16
,,B,84,12,7,8
,,B,85,13,7,7
,,B,81,11,6,6
,,B,82,0,2,2
,,B,83,12,5,6
,,B,84,8,5,5
,,B,85,10,5,7
,,B,81,5,5,5
,,B,82,7,6,5
,,B,83,13,12,11
,,B,84,10,9,8
,,B,85,7,6,6
,,B,81,6,6,7
,,B,82,4,2,2
,,B,83,6,8,9
,,B,84,5,4,5
,,B,85,4,3,3
,,B,81,10,9,9
,,B,82,8,5,6
,,B,83,11,12,11
,,B,84,6,9,8
,,B,85,6,8,8
,,C,81,6,3,4
,,C,82,3,5,5
,,C,83,16,18,17
,,C,84,15,10,5
,,C,85,14,15,14
,,D,81,2,1,1
,,D,82,0,1,0
,,D,83,3,4,4
,,D,84,1,1,1
,,D,85,1,1,1
,,C,81,1,2,3
,,C,82,13,5,3
,,C,83,38,18,17
,,C,84,10,8,6
,,C,85,12,9,10
,,D,81,2,1,0
,,D,82,1,0,0
,,D,83,6,5,4
,,D,84,0,1,1
,,D,85,2,0,0
,,C,81,6,6,6
,,C,82,13,8,7
,,C,83,6,8,9
,,C,84,4,8,8
,,C,85,8,11,11
,,C,81,6,11,18
,,C,82,1,2,4
,,C,83,1,1,1
,,C,84,5,4,6
,,C,85,0,1,1
,,C,81,3,5,6
,,C,82,15,9,8
,,C,83,9,12,12
,,C,84,8,9,9
,,C,85,7,13,13
,,C,81,15,11,17
,,C,82,1,3,3
,,C,83,1,2,2
,,C,84,5,4,5
,,C,85,0,0,1
,,A,81,3,10,9
,,A,82,20,17,24
,,A,83,33,54,63
,,A,84,17,30,29
,,A,85,32,37,49
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,A,81,2,8,9
,,A,82,10,22,21
,,A,83,49,39,48
,,A,84,15,24,23
,,A,85,28,34,41
,,D,81,1,2,1
