PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_03_ACTUAL,2016_03_MSF_FORECAST,2016_03_RF_FORECAST
,,B,83,21,17,21
,,B,84,8,6,8
,,B,85,16,7,8
,,C,81,4,3,3
,,C,82,6,2,2
,,C,83,13,12,12
,,C,84,7,6,7
,,C,85,2,2,3
,,B,81,7,8,8
,,B,82,9,6,6
,,B,83,13,16,19
,,B,84,6,7,9
,,B,85,15,7,8
,,B,81,5,5,6
,,B,82,1,2,2
,,B,83,13,6,7
,,B,84,7,5,6
,,B,85,8,5,5
,,B,81,7,4,4
,,B,82,4,6,6
,,B,83,13,12,10
,,B,84,10,8,9
,,B,85,5,6,6
,,B,81,8,6,7
,,B,82,3,2,2
,,B,83,12,8,9
,,B,84,5,5,5
,,B,85,4,3,4
,,B,81,12,9,9
,,B,82,6,5,6
,,B,83,11,12,12
,,B,84,3,9,8
,,B,85,11,9,9
,,C,81,14,3,5
,,C,82,4,5,6
,,C,83,20,18,18
,,C,84,4,9,5
,,C,85,13,15,13
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,8,3,3
,,D,84,1,1,1
,,D,85,1,0,1
,,C,81,1,2,2
,,C,82,12,5,3
,,C,83,73,19,20
,,C,84,10,7,5
,,C,85,12,10,12
,,D,81,3,1,1
,,D,82,0,0,0
,,D,83,2,4,3
,,D,84,0,1,1
,,D,85,1,0,0
,,C,81,3,5,5
,,C,82,5,7,6
,,C,83,13,7,6
,,C,84,5,8,7
,,C,85,12,10,9
,,C,81,10,12,14
,,C,82,3,2,3
,,C,83,0,1,1
,,C,84,9,5,6
,,C,85,0,0,1
,,C,81,3,5,5
,,C,82,2,9,7
,,C,83,5,12,12
,,C,84,13,9,8
,,C,85,10,11,9
,,C,81,12,12,15
,,C,82,1,3,2
,,C,83,0,2,1
,,C,84,4,5,6
,,C,85,0,1,1
,,A,81,1,9,8
,,A,82,18,16,18
,,A,83,37,52,45
,,A,84,20,27,24
,,A,85,50,35,33
,,D,81,2,1,1
