PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_01_ACTUAL,2016_01_MSF_FORECAST,2016_01_RF_FORECAST
,,C,82,1,2,3
,,C,83,1,2,1
,,C,84,1,2,2
,,C,85,1,1,1
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,2,2,2
,,D,84,0,1,1
,,D,85,0,2,1
,,C,81,4,10,10
,,C,82,3,9,9
,,C,83,7,12,9
,,C,84,4,6,5
,,C,85,2,3,3
,,C,81,5,10,9
,,C,82,10,6,6
,,C,83,18,9,9
,,C,84,2,5,4
,,C,85,2,4,4
,,D,81,0,0,0
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,1,1,1
,,D,85,0,1,1
,,B,81,1,3,3
,,B,82,5,2,2
,,B,83,6,5,5
,,B,84,1,3,2
,,B,85,0,1,1
,,D,81,0,1,1
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,4,4,4
,,B,82,3,1,1
,,B,83,12,4,4
,,B,84,8,2,3
,,B,85,3,1,1
,,D,81,0,1,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,D,81,0,2,1
,,D,82,0,1,1
,,D,83,1,3,3
,,D,84,0,1,1
,,D,85,0,1,1
,,B,81,6,5,5
,,B,82,3,2,2
,,B,83,26,16,16
,,B,84,7,7,8
,,B,85,7,7,6
,,D,81,2,2,1
,,D,82,0,1,1
,,D,83,0,2,2
,,D,84,1,1,1
,,D,85,1,1,1
,,B,81,2,5,5
,,B,82,1,4,2
,,B,83,16,16,15
,,B,84,7,9,9
,,B,85,5,5,6
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,9,18,16
,,B,82,4,7,6
,,B,83,4,11,9
,,B,84,14,13,12
,,B,85,16,11,11
,,B,81,7,18,17
,,B,82,3,6,6
,,B,83,6,9,8
,,B,84,9,13,12
,,B,85,14,11,10
,,C,81,7,6,7
,,C,82,0,3,2
,,C,83,12,7,6
,,C,84,5,5,5
,,C,85,8,4,4
,,C,81,7,4,4
,,C,82,9,3,3
,,C,83,12,5,4
,,C,84,4,6,6
,,C,85,9,5,4
,,D,81,0,1,1
,,D,82,1,1,1
,,D,83,2,3,2
,,D,84,1,1,1
,,D,85,0,0,0
,,D,81,0,1,1
,,D,82,1,0,0
,,D,83,5,2,3
,,D,84,0,1,1
,,D,85,0,0,0
,,C,81,0,0,1
,,C,82,0,2,2
,,C,83,0,2,1
,,C,84,1,2,1
,,C,85,3,4,3
,,C,81,3,1,1
,,C,82,8,2,2
,,C,83,0,0,1
,,C,84,2,1,1
,,C,85,0,2,1
,,D,81,0,7,6
,,D,82,0,7,6
,,D,83,0,18,11
,,D,84,0,3,2
,,D,85,0,13,12
,,D,81,0,5,4
,,D,82,0,8,6
,,D,83,0,17,13
,,D,84,0,3,2
,,D,85,0,12,11
,,A,81,20,11,12
,,A,82,13,20,15
,,A,83,29,31,24
,,A,84,42,23,17
,,A,85,44,32,31
,,A,81,12,9,7
,,A,82,22,20,18
,,A,83,37,26,20
,,A,84,23,24,20
,,A,85,39,25,23
,,C,81,3,4,4
,,C,82,1,4,4
,,C,83,12,8,7
,,C,84,14,5,5
,,C,85,4,2,3
,,B,81,14,8,8
,,B,82,4,8,8
,,B,83,36,15,16
,,B,84,10,6,6
,,B,85,7,6,6
,,C,81,2,3,3
,,C,82,2,3,2
,,C,83,15,11,11
,,C,84,14,5,5
,,C,85,4,2,2
,,B,81,10,8,8
,,B,82,8,6,6
,,B,83,23,16,15
,,B,84,13,8,8
,,B,85,11,6,6
,,B,81,7,6,6
,,B,82,2,2,2
,,B,83,12,5,6
,,B,84,6,6,6
,,B,85,3,5,6
,,B,81,3,6,6
,,B,82,9,6,6
,,B,83,12,13,13
,,B,84,10,9,9
,,B,85,5,6,6
,,B,81,10,5,6
,,B,82,2,2,2
,,B,83,11,7,7
,,B,84,5,5,5
,,B,85,6,3,3
,,B,81,7,9,7
,,B,82,6,4,5
,,B,83,12,12,11
,,B,84,8,11,10
,,B,85,12,8,8
,,C,81,4,2,3
,,C,82,8,5,4
,,C,83,18,17,15
,,C,84,5,10,6
,,C,85,14,14,14
,,D,81,0,1,1
,,D,82,1,1,0
,,D,83,3,3,3
,,D,84,1,1,1
,,D,85,2,1,0
,,C,81,2,2,3
,,C,82,3,5,4
,,C,83,21,17,17
,,C,84,4,8,6
,,C,85,17,9,9
,,D,81,2,1,1
,,D,82,0,0,0
,,D,83,1,6,5
,,D,84,0,1,1
,,D,85,2,0,0
,,C,81,4,6,6
,,C,82,4,9,7
,,C,83,1,8,8
,,C,84,3,9,9
,,C,85,1,11,10
,,C,81,11,10,14
,,C,82,1,2,3
,,C,83,1,1,1
,,C,84,6,4,5
,,C,85,0,1,1
,,C,81,6,6,5
,,C,82,6,9,10
,,C,83,17,12,13
,,C,84,4,8,8
,,C,85,2,13,14
,,C,81,12,9,14
,,C,82,1,2,2
,,C,83,0,2,2
,,C,84,6,4,5
,,C,85,3,1,1
,,A,81,7,13,10
,,A,82,17,19,21
,,A,83,25,55,54
,,A,84,19,33,26
,,A,85,16,39,38
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,0,1,1
,,D,84,0,1,1
,,D,85,0,1,1
,,A,81,6,12,10
,,A,82,10,24,21
,,A,83,51,40,36
,,A,84,15,26,22
,,A,85,23,36,40
,,D,81,1,2,2
,,D,82,0,1,1
,,D,83,0,1,2
,,D,84,1,1,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,82,0,0,0
,,D,83,0,0,1
,,D,84,1,0,0
,,D,85,1,1,1
,,D,81,0,1,1
,,D,82,0,1,1
,,D,83,2,0,0
,,D,84,2,1,1
,,D,85,0,1,1
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,16,12,12
,,B,82,25,22,20
,,B,83,44,31,31
,,B,84,14,12,11
,,B,85,20,28,27
,,B,81,11,14,17
,,B,82,6,5,5
,,B,83,16,10,10
,,B,84,12,5,6
,,B,85,0,4,3
,,C,81,5,2,2
,,C,82,19,3,6
,,C,83,7,2,3
,,C,84,9,1,1
,,C,85,1,1,1
,,C,81,2,2,3
,,C,82,0,2,1
,,C,83,9,10,11
,,C,84,2,1,1
,,C,85,2,1,1
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,0,0,1
,,D,85,17,1,0
,,B,81,13,12,12
,,B,82,19,20,18
,,B,83,26,32,30
,,B,84,22,17,17
,,B,85,33,33,28
,,B,81,9,11,12
,,B,82,1,5,4
,,B,83,8,13,9
,,B,84,8,7,7
,,B,85,4,5,4
,,C,81,1,1,2
,,C,82,10,3,5
,,C,83,5,2,2
,,C,84,7,1,3
,,C,85,5,1,1
,,C,81,3,2,3
,,C,82,0,2,2
,,C,83,6,10,10
,,C,84,0,1,1
,,C,85,0,1,2
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,14,1,0
,,A,81,37,39,38
,,A,82,42,39,37
,,A,83,60,74,78
,,A,84,60,37,36
,,A,85,40,45,48
,,A,81,51,44,41
,,A,82,42,36,36
,,A,83,45,74,76
,,A,84,56,36,34
,,A,85,47,50,45
,,C,81,2,2,3
,,C,82,6,2,3
,,C,83,6,3,6
,,C,84,5,2,3
,,C,85,10,1,2
,,B,81,10,10,11
,,B,82,10,9,8
,,B,83,4,12,11
,,B,84,6,9,7
,,B,85,26,13,13
,,C,81,0,2,2
,,C,82,6,3,6
,,C,83,3,3,4
,,C,84,6,3,5
,,C,85,7,1,2
,,B,81,8,12,11
,,B,82,7,8,7
,,B,83,5,12,12
,,B,84,10,10,9
,,B,85,18,10,9
,,C,81,5,2,3
,,C,82,2,2,1
,,C,83,5,4,5
,,C,84,1,3,3
,,C,85,2,3,3
,,D,81,2,4,3
,,D,82,5,2,2
,,D,83,2,5,4
,,D,84,3,3,3
,,D,85,1,3,3
,,C,81,2,2,2
,,C,82,4,2,1
,,C,83,4,5,5
,,C,84,4,3,3
,,C,85,3,4,5
,,D,81,6,4,3
,,D,82,3,3,3
,,D,83,3,4,4
,,D,84,0,3,3
,,D,85,3,2,2
,,C,81,3,1,1
,,C,82,0,1,1
,,C,83,1,2,2
,,C,84,1,1,1
,,C,85,1,1,1
,,C,81,1,1,1
,,C,82,0,1,1
,,C,83,2,2,1
,,C,84,2,1,1
,,C,85,1,1,1
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,1,0
,,A,81,81,93,90
,,A,82,60,68,67
,,A,83,104,86,87
,,A,84,68,59,57
,,A,85,76,72,70
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,A,81,67,102,90
,,A,82,78,70,69
,,A,83,132,101,88
,,A,84,96,63,67
,,A,85,90,69,69
,,A,81,19,10,13
,,A,82,7,5,6
,,A,83,7,25,32
,,A,84,13,13,16
,,A,85,13,11,13
,,B,81,8,7,19
,,B,82,5,4,8
,,B,83,12,9,20
,,B,84,4,7,17
,,B,85,2,6,15
,,D,81,0,4,0
,,D,82,0,3,1
,,D,83,0,16,2
,,D,84,0,15,2
,,D,85,0,11,1
,,A,81,36,11,14
,,A,82,8,7,7
,,A,83,25,23,30
,,A,84,14,13,16
,,A,85,16,13,15
,,B,81,4,5,12
,,B,82,6,5,10
,,B,83,26,10,24
,,B,84,4,7,18
,,B,85,6,5,10
,,A,81,18,15,18
,,A,82,9,5,6
,,A,83,11,19,20
,,A,84,11,12,14
,,A,85,14,10,7
,,A,81,23,17,16
,,A,82,4,4,5
,,A,83,22,24,24
,,A,84,19,11,13
,,A,85,19,14,14
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,23,26,25
,,B,82,21,18,16
,,B,83,44,29,29
,,B,84,31,23,22
,,B,85,34,24,23
,,D,81,13,28,24
,,D,82,23,22,21
,,D,83,37,46,36
,,D,84,21,26,21
,,D,85,32,32,29
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,B,81,36,27,25
,,B,82,17,19,19
,,B,83,39,33,34
,,B,84,21,25,23
,,B,85,21,24,23
,,D,81,17,27,22
,,D,82,23,18,17
,,D,83,40,50,38
,,D,84,29,26,24
,,D,85,25,24,22
,,D,81,2,1,1
,,D,82,2,1,1
,,D,83,1,1,1
,,D,84,1,1,1
,,D,85,0,0,0
,,D,81,1,2,2
,,D,82,0,1,1
,,D,83,0,0,1
,,D,84,1,1,1
,,D,85,0,1,1
,,C,81,7,4,9
,,C,82,2,2,3
,,C,83,1,2,2
,,C,84,1,1,1
,,C,85,2,2,3
,,C,81,4,3,3
,,C,82,1,2,2
,,C,83,4,2,3
,,C,84,1,1,1
,,C,85,2,2,2
,,D,81,0,0,0
,,D,82,0,0,0
,,D,83,0,0,0
,,D,84,0,0,0
,,D,85,0,0,0
,,A,81,15,17,17
,,A,82,13,16,16
,,A,83,7,11,10
,,A,84,10,13,13
,,A,85,7,17,16
,,A,81,10,14,16
,,A,82,7,10,11
,,A,83,6,13,13
,,A,84,5,12,13
,,A,85,19,17,19
,,A,81,11,18,17
,,A,82,16,14,14
,,A,83,9,7,6
,,A,84,9,11,11
,,A,85,9,14,15
,,A,81,12,12,15
,,A,82,6,12,15
,,A,83,14,13,14
,,A,84,5,14,16
,,A,85,11,18,21
,,D,81,1,0,1
,,D,82,1,1,1
,,D,83,1,1,1
,,D,84,8,1,1
,,D,85,0,0,0
,,D,81,1,2,2
,,D,82,1,1,0
,,D,83,3,3,3
,,D,84,2,3,3
,,D,85,2,3,3
,,D,81,1,1,1
,,D,82,1,0,0
,,D,83,5,1,1
,,D,84,7,0,0
,,D,85,0,0,1
,,D,81,0,0,0
,,D,82,0,2,2
,,D,83,5,3,1
,,D,84,0,4,3
,,D,85,5,2,2
,,D,81,0,3,1
,,D,82,0,8,1
,,D,83,0,21,2
,,D,84,0,6,1
,,D,85,0,18,2
,,A,81,58,29,50
,,A,82,36,23,38
,,A,83,96,39,66
,,A,84,34,21,35
,,A,85,28,35,54
,,A,81,45,27,50
,,A,82,58,25,48
,,A,83,64,44,80
,,A,84,32,22,41
,,A,85,43,40,62
,,B,81,20,23,24
,,B,82,2,6,5
,,B,83,2,7,8
,,B,84,6,4,4
,,B,85,5,11,10
,,B,81,21,21,21
,,B,82,1,6,5
,,B,83,6,7,7
,,B,84,8,5,4
,,B,85,4,8,8
,,D,81,6,12,11
,,D,82,2,1,1
,,D,83,0,1,1
,,D,84,0,3,3
,,D,85,2,2,2
,,D,81,6,12,11
,,D,82,1,1,2
,,D,83,0,1,1
,,D,84,2,1,1
,,D,85,1,1,1
,,C,81,6,7,7
,,C,82,0,2,1
,,C,83,0,3,4
,,C,84,5,7,7
,,C,85,1,6,7
,,C,81,5,9,9
,,C,82,1,2,2
,,C,83,0,3,4
,,C,84,8,6,7
,,C,85,0,4,4
,,D,81,2,6,6
,,D,82,0,1,1
,,D,83,1,2,2
,,D,84,1,2,1
,,D,85,1,0,0
,,D,81,0,5,5
,,D,82,0,1,2
,,D,83,1,2,2
,,D,84,0,2,2
,,D,85,0,1,1
,,C,81,4,7,7
,,C,82,0,1,1
,,C,83,1,1,1
,,C,84,2,2,2
,,C,85,1,3,3
,,C,81,3,6,6
,,C,82,0,2,1
,,C,83,0,1,1
,,C,84,2,2,2
,,C,85,1,2,2
,,D,81,0,52,4
,,D,82,0,31,1
,,D,83,0,9,1
,,D,84,0,34,1
,,D,85,3,22,2
,,A,81,294,500,308
,,A,82,170,148,163
,,A,83,61,53,71
,,A,84,152,113,134
,,A,85,102,86,109
,,D,81,23,9,10
,,D,82,0,2,2
,,D,83,1,9,8
,,D,84,5,10,11
,,D,85,8,8,7
,,D,81,51,2,4
,,D,82,32,19,17
,,D,83,20,12,11
,,D,84,62,11,12
,,D,85,37,32,31
,,D,81,0,31,2
,,D,82,0,24,1
,,D,83,0,7,1
,,D,84,0,35,1
,,D,85,0,24,1
,,A,81,243,511,326
,,A,82,174,158,165
,,A,83,47,51,61
,,A,84,169,111,127
,,A,85,86,88,113
,,D,81,19,7,7
,,D,82,0,2,2
,,D,83,5,8,8
,,D,84,4,11,12
,,D,85,28,8,7
,,D,81,48,1,3
,,D,82,21,21,18
,,D,83,30,12,11
,,D,84,57,10,12
,,D,85,28,35,35
,,C,81,26,36,35
,,C,82,11,9,9
,,C,83,12,8,7
,,C,84,6,12,12
,,C,85,12,13,12
,,C,81,38,33,34
,,C,82,8,6,6
,,C,83,14,9,9
,,C,84,11,10,9
,,C,85,20,16,14
,,D,81,1,4,4
,,D,82,0,1,2
,,D,83,0,2,2
,,D,84,1,3,3
,,D,85,3,3,3
,,D,81,4,4,4
,,D,82,0,2,3
,,D,83,1,2,2
,,D,84,3,2,2
,,D,85,2,2,3
,,C,81,25,28,27
,,C,82,3,4,4
,,C,83,15,10,10
,,C,84,5,9,7
,,C,85,12,11,9
,,C,81,25,32,30
,,C,82,5,5,6
,,C,83,5,11,10
,,C,84,2,9,8
,,C,85,6,11,9
,,D,81,4,7,7
,,D,82,0,1,1
,,D,83,0,2,2
,,D,84,1,2,2
,,D,85,2,2,3
,,D,81,3,8,8
,,D,82,1,1,1
,,D,83,1,2,2
,,D,84,0,1,1
,,D,85,1,2,2
,,D,81,5,13,13
,,D,82,0,2,2
,,D,83,4,3,3
,,D,84,4,2,2
,,D,85,6,2,3
,,D,81,6,11,11
,,D,82,1,2,2
,,D,83,4,4,3
,,D,84,2,2,2
,,D,85,0,2,3
,,C,81,16,10,16
,,C,82,5,2,4
,,C,83,16,6,12
,,C,84,2,3,5
,,C,85,2,1,2
,,D,81,1,5,4
,,D,82,0,1,1
,,D,83,0,2,2
,,D,84,2,1,1
,,D,85,4,1,1
,,C,81,25,9,17
,,C,82,5,2,5
,,C,83,7,6,9
,,C,84,5,3,5
,,C,85,3,2,3
,,D,81,3,8,7
,,D,82,0,1,1
,,D,83,2,5,4
,,D,84,1,1,1
,,D,85,2,3,3
,,D,81,1,7,7
,,D,82,0,1,1
,,D,83,1,2,2
,,D,84,5,3,3
,,D,85,0,1,1
,,D,81,1,6,6
,,D,82,0,1,1
,,D,83,0,2,2
,,D,84,5,3,3
,,D,85,0,1,1
,,D,81,8,10,10
,,D,82,1,3,3
,,D,83,6,6,5
,,D,84,1,7,6
,,D,85,1,4,3
,,D,81,6,13,13
,,D,82,2,3,2
,,D,83,4,7,7
,,D,84,1,7,7
,,D,85,2,4,4
,,D,81,1,8,9
,,D,82,0,1,1
,,D,83,0,4,4
,,D,84,2,5,5
,,D,85,0,1,1
,,D,81,3,8,9
,,D,82,0,1,1
,,D,83,0,3,3
,,D,84,2,5,4
,,D,85,0,1,1
,,D,81,8,13,13
,,D,82,1,1,1
,,D,83,2,5,5
,,D,84,10,9,7
,,D,85,3,4,3
,,D,81,5,12,13
,,D,82,1,3,2
,,D,83,0,5,5
,,D,84,9,7,7
,,D,85,0,3,3
,,C,81,29,30,41
,,C,82,7,9,9
,,C,83,6,9,11
,,C,84,7,6,7
,,C,85,11,7,8
,,C,81,22,28,36
,,C,82,2,8,9
,,C,83,18,15,17
,,C,84,11,6,7
,,C,85,14,9,12
,,D,81,9,7,7
,,D,82,0,7,5
,,D,83,2,2,2
,,D,84,2,3,3
,,D,85,10,9,7
,,D,81,7,8,8
,,D,82,1,5,4
,,D,83,0,2,2
,,D,84,2,3,3
,,D,85,7,4,4
,,D,81,0,6,1
,,D,82,0,5,0
,,D,83,1,3,1
,,D,84,0,14,1
,,D,85,0,13,1
,,A,81,104,272,256
,,A,82,30,44,45
,,A,83,23,23,26
,,A,84,54,55,60
,,A,85,28,24,28
,,D,81,2,3,3
,,D,82,2,1,1
,,D,83,3,4,4
,,D,84,3,5,4
,,D,85,7,7,6
,,D,81,0,0,1
,,D,82,2,5,4
,,D,83,5,5,5
,,D,84,5,3,3
,,D,85,14,13,13
,,D,81,0,7,1
,,D,82,0,4,0
,,D,83,0,5,1
,,D,84,0,5,1
,,D,85,0,11,0
,,A,81,85,250,239
,,A,82,29,44,44
,,A,83,17,21,22
,,A,84,50,62,60
,,A,85,32,26,28
,,D,81,3,3,3
,,D,82,0,3,2
,,D,83,6,4,3
,,D,84,3,5,5
,,D,85,9,4,4
,,D,81,0,0,1
,,D,82,3,4,4
,,D,83,5,6,6
,,D,84,5,3,2
,,D,85,16,14,12
,,D,81,1,10,9
,,D,82,0,2,2
,,D,83,0,2,3
,,D,84,7,3,3
,,D,85,1,1,1
,,D,81,3,9,10
,,D,82,1,2,1
,,D,83,0,2,2
,,D,84,5,3,3
,,D,85,1,2,2
,,C,81,8,44,78
,,C,82,12,5,18
,,C,83,5,3,8
,,C,84,33,10,23
,,C,85,9,3,6
,,C,81,13,42,76
,,C,82,9,5,19
,,C,83,4,4,14
,,C,84,29,10,24
,,C,85,8,2,5
,,D,81,4,8,8
,,D,82,9,7,7
,,D,83,1,1,1
,,D,84,5,6,6
,,D,85,3,9,10
,,D,81,14,16,15
,,D,82,1,2,2
,,D,83,1,2,1
,,D,84,3,9,8
,,D,85,4,7,6
,,D,81,13,8,7
,,D,82,10,9,9
,,D,83,0,1,1
,,D,84,4,8,7
,,D,85,10,8,9
,,D,81,8,16,15
,,D,82,5,3,2
,,D,83,1,2,2
,,D,84,3,6,5
,,D,85,5,4,3
,,D,81,11,7,7
,,D,82,0,1,1
,,D,83,2,3,3
,,D,84,1,3,3
,,D,85,2,2,2
,,D,81,9,7,7
,,D,82,0,1,1
,,D,83,1,2,2
,,D,84,1,4,4
,,D,85,0,1,1
,,D,81,9,10,12
,,D,82,0,1,1
,,D,83,1,3,3
,,D,84,5,4,4
,,D,85,0,2,1
,,D,81,4,9,11
,,D,82,0,0,0
,,D,83,0,3,3
,,D,84,3,5,3
,,D,85,0,2,1
,,C,81,21,27,26
,,C,82,11,5,5
,,C,83,9,14,13
,,C,84,8,10,9
,,C,85,3,5,4
,,C,81,13,25,25
,,C,82,16,6,7
,,C,83,3,16,14
,,C,84,6,10,10
,,C,85,7,5,5
,,C,81,31,16,15
,,C,82,6,6,5
,,C,83,7,5,4
,,C,84,19,10,11
,,C,85,9,10,10
,,C,81,5,6,6
,,C,82,0,2,1
,,C,83,0,4,3
,,C,84,11,10,9
,,C,85,14,12,11
,,B,81,32,24,22
,,B,82,14,18,16
,,B,83,4,8,8
,,B,84,20,15,13
,,B,85,12,17,16
,,C,81,41,17,16
,,C,82,9,5,4
,,C,83,10,4,3
,,C,84,18,9,10
,,C,85,15,8,9
,,A,81,153,135,194
,,A,82,64,17,44
,,A,83,15,6,20
,,A,84,50,13,33
,,A,85,27,8,18
,,C,81,7,4,4
,,C,82,0,3,1
,,C,83,1,4,4
,,C,84,4,10,11
,,C,85,7,11,11
,,B,81,38,27,25
,,B,82,27,18,15
,,B,83,10,7,8
,,B,84,22,16,15
,,B,85,22,15,15
,,D,81,2,8,8
,,D,82,0,1,1
,,D,83,1,3,3
,,D,84,6,4,4
,,D,85,1,3,3
,,D,81,3,9,9
,,D,82,0,1,2
,,D,83,3,4,4
,,D,84,4,6,5
,,D,85,1,4,3
,,D,81,0,44,2
,,D,82,0,11,1
,,D,83,0,13,0
,,D,84,0,54,22
,,D,85,0,11,0
,,B,81,89,236,231
,,B,82,26,18,26
,,B,83,41,19,26
,,B,84,69,22,27
,,B,85,21,18,24
,,D,81,4,9,9
,,D,82,2,2,2
,,D,83,6,9,8
,,D,84,9,7,7
,,D,85,6,7,6
,,D,81,0,43,1
,,D,82,0,10,1
,,D,83,0,12,1
,,D,84,0,50,23
,,D,85,0,13,0
,,B,81,116,250,235
,,B,82,28,19,27
,,B,83,25,21,27
,,B,84,69,17,25
,,B,85,29,15,22
,,D,81,7,10,10
,,D,82,2,2,2
,,D,83,10,11,10
,,D,84,4,8,7
,,D,85,9,7,7
,,D,81,8,10,11
,,D,82,1,2,2
,,D,83,1,4,4
,,D,84,5,5,4
,,D,85,3,4,4
,,C,81,48,34,33
,,C,82,5,7,7
,,C,83,4,9,9
,,C,84,9,9,8
,,C,85,2,5,4
,,D,81,2,2,2
,,D,82,0,2,1
,,D,83,2,3,2
,,D,84,3,4,3
,,D,85,2,3,3
,,D,81,8,10,9
,,D,82,1,2,2
,,D,83,1,4,4
,,D,84,10,5,5
,,D,85,2,5,4
,,C,81,20,38,32
,,C,82,5,7,6
,,C,83,0,8,7
,,C,84,7,8,8
,,C,85,6,3,3
,,D,81,2,2,3
,,D,82,0,3,2
,,D,83,3,3,2
,,D,84,2,4,3
,,D,85,5,4,3
,,C,81,22,68,48
,,C,82,5,10,11
,,C,83,3,7,6
,,C,84,10,19,16
,,C,85,0,6,6
,,D,81,1,2,1
,,D,82,0,1,1
,,D,83,3,3,2
,,D,84,1,4,3
,,D,85,2,5,5
,,C,81,35,68,50
,,C,82,9,10,10
,,C,83,4,7,5
,,C,84,9,18,15
,,C,85,1,8,6
,,D,81,1,3,2
,,D,82,0,1,1
,,D,83,1,4,2
,,D,84,0,4,4
,,D,85,3,5,5
,,D,81,2,13,13
,,D,82,4,3,4
,,D,83,5,4,3
,,D,84,3,2,2
,,D,85,3,3,3
,,D,81,7,13,13
,,D,82,0,3,3
,,D,83,2,3,3
,,D,84,0,3,3
,,D,85,3,4,3
,,D,81,2,34,6
,,D,82,0,9,2
,,D,83,0,15,12
,,D,84,0,14,2
,,D,85,0,14,1
,,C,81,35,50,86
,,C,82,19,7,14
,,C,83,8,6,11
,,C,84,28,10,16
,,C,85,9,3,6
,,D,81,0,33,3
,,D,82,0,9,2
,,D,83,0,11,4
,,D,84,1,25,6
,,D,85,0,11,2
,,C,81,24,58,95
,,C,82,19,9,13
,,C,83,8,6,10
,,C,84,24,9,17
,,C,85,12,7,12
,,D,81,7,10,11
,,D,82,3,3,3
,,D,83,1,1,1
,,D,84,9,8,8
,,D,85,0,3,2
,,D,81,12,9,10
,,D,82,4,3,3
,,D,83,3,1,1
,,D,84,11,8,7
,,D,85,3,3,3
,,D,81,2,5,4
,,D,82,0,1,1
,,D,83,1,5,3
,,D,84,1,3,2
,,D,85,2,3,3
,,C,81,21,9,20
,,C,82,5,4,9
,,C,83,10,8,17
,,C,84,5,4,10
,,C,85,6,2,4
,,D,81,6,7,6
,,D,82,0,1,1
,,D,83,4,5,4
,,D,84,0,4,3
,,D,85,4,4,3
,,C,81,28,12,28
,,C,82,10,4,12
,,C,83,12,8,17
,,C,84,6,5,10
,,C,85,7,2,4
,,C,81,13,23,24
,,C,82,0,4,4
,,C,83,14,8,8
,,C,84,9,11,11
,,C,85,0,1,2
