PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_01_ACTUAL,2016_01_MSF_FORECAST,2016_01_RF_FORECAST
,,D,81,2,4,3
,,D,82,1,1,1
,,D,83,1,1,1
,,D,84,2,1,1
,,D,85,1,1,1
,,D,81,6,3,3
,,D,82,0,1,0
,,D,83,1,1,1
,,D,84,1,1,1
,,D,85,0,0,0
,,D,81,1,3,3
,,D,82,0,0,0
,,D,83,0,1,1
,,D,84,1,2,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,83,0,0,0
,,D,84,0,1,1
,,D,85,0,0,0
,,D,81,1,2,2
,,D,82,0,0,1
,,D,83,1,1,1
,,D,84,1,1,1
,,D,85,0,1,1
,,D,81,0,1,1
,,D,83,0,0,0
,,D,84,0,1,1
,,D,85,0,1,0
,,C,81,3,4,4
,,C,82,3,1,1
,,C,83,1,3,3
,,C,84,3,4,4
,,C,85,6,1,1
,,D,81,2,2,2
,,D,82,0,1,1
,,D,83,5,4,8
,,D,84,1,2,3
,,D,85,1,2,3
,,C,81,3,3,4
,,C,82,1,1,1
,,C,83,1,2,2
,,C,84,5,4,5
,,C,85,1,2,1
,,D,81,0,3,3
,,D,82,0,1,1
,,D,83,4,5,8
,,D,84,0,2,2
,,D,85,2,2,3
,,B,81,10,2,3
,,B,82,5,2,2
,,B,83,12,11,14
,,B,84,25,1,1
,,B,85,2,1,1
,,D,81,1,1,2
,,D,82,0,1,1
,,D,83,0,3,2
,,D,84,1,0,0
,,D,85,0,1,1
,,B,81,2,2,3
,,B,82,1,3,4
,,B,83,41,10,12
,,B,84,11,1,2
,,B,85,3,0,1
,,D,81,3,1,1
,,D,82,0,1,1
,,D,83,4,3,3
,,D,84,0,0,0
,,D,85,0,2,2
,,D,81,1,2,1
,,D,82,3,3,4
,,D,83,3,2,2
,,D,84,2,2,1
,,D,85,1,0,0
,,C,81,5,3,3
,,C,82,2,2,3
,,C,83,4,4,4
,,C,84,10,4,4
,,C,85,8,4,4
,,C,81,0,4,3
,,C,82,2,2,2
,,C,83,5,3,3
,,C,84,6,4,4
,,C,85,0,4,4
,,D,81,4,2,1
,,D,82,1,3,3
,,D,83,2,2,2
,,D,84,2,1,1
,,D,85,1,1,1
,,C,81,2,2,2
,,C,82,2,4,2
,,C,83,8,4,4
,,C,84,3,5,5
,,C,85,3,3,2
,,C,81,0,5,3
,,C,82,1,3,4
,,C,83,7,4,3
,,C,84,7,6,6
,,C,85,3,3,3
,,C,81,0,4,3
,,C,82,1,1,2
,,C,83,5,3,3
,,C,84,0,3,3
,,C,85,0,2,2
,,D,81,1,1,1
,,D,82,0,0,1
,,D,83,2,3,1
,,D,84,1,1,1
,,D,85,2,1,1
,,C,81,0,3,3
